,Intercept,Treat,time,time:Treat
London_total,1.866666667,5.55E-16,5.8,13.93333333
City of London,-5.066666667,2.22E-16,1.062317582,-37.39565092
Westminster,-2.1,1.33E-15,-3.654811264,-11.44518874
Barking and Dagenham,5.033333333,2.00E-15,9.014077782,17.95258888
Barnet,4.733333333,0,9.494242919,19.57242375
Bexley,2.066666667,2.22E-16,-6.388742319,35.72207565
Brent,6.666666667,1.72E-15,20.87189065,8.061442681
Bromley,4,0,7.513308549,24.68669145
Camden,-3.366666667,0,-0.305526223,-10.12780711
Croydon,3.766666667,8.33E-16,10.80712275,19.22621058
Ealing,6.266666667,4.44E-16,10.26666667,17.26666667
Enfield,4.933333333,5.55E-16,9.045343962,16.0213227
Hackney,3.266666667,-3.33E-16,7.74578072,18.58755261
Hammersmith and Fulham,-2.266666667,-1.33E-15,-8.07139238,18.53805905
Haringey,2.333333333,3.33E-16,10.06666667,14.8
Harrow,2.733333333,-5.55E-16,15.46666667,16.6
Havering,4.866666667,1.67E-15,20.84787176,4.885461574
Hillingdon,6.9,2.00E-15,11.09527276,17.60472724
Hounslow,0.8,-4.44E-16,1.152671649,26.44732835
Islington,1.733333333,3.33E-16,5.905846045,2.760820622
Lambeth,0.3,-7.77E-16,3.015914911,20.68408509
Lewisham,3.033333333,5.55E-17,5.255555556,28.11111111
Merton,2.233333333,5.55E-16,9.159982276,22.40668439
Newham,5.366666667,1.44E-15,29.36341425,-3.530080919
Redbridge,6.233333333,2.22E-16,9.411111111,23.15555556
Richmond upon Thames,1.833333333,-5.55E-17,1.32795527,27.0387114
Southwark,0.2,1.11E-16,8.950496741,3.649503259
Sutton,2.966666667,1.22E-15,42.59802717,-12.96469384
Tower Hamlets,0.433333333,2.00E-15,49.96666667,-39.8
Waltham Forest,2.766666667,1.11E-16,5.966666667,19.66666667
Wandsworth,2.9,2.22E-16,6.119266689,22.58073331
Greenwich,3.366666667,6.31E-16,-5.7873181,35.02065143
Kensington and Chelsea,5.033333333,1.55E-15,7.296016647,2.47065002
Kingston upon Thames,0.166666667,-1.11E-15,-7.59551137,34.6288447
