NAME,GSS_CODE,NUMPOINTS,PointsDens,NearestDist_mean,NearestDist_median,NUMPOINTS(500m)_mean,NUMPOINTS(500m)_median,NUMPOINT(1km)_mean,NUMPOINT(1km)_median,NUMPOINT(2km)_mean,NUMPOINT(2km)_median
Kingston upon Thames,E09000021,37,0.01,486.024879,427.417046,1.081633,1,4.010204,4,11.969388,12.5
Croydon,E09000008,77,0.009,562.327722,488.469644,1.009091,1,3.831818,3,14.481818,15
Bromley,E09000006,78,0.005,565.315801,477.315802,0.913706,1,3.19797,3,10.593909,9
Hounslow,E09000018,52,0.009,462.750228,381.68132,1.028169,1,3.661972,3,12.683099,11.5
Ealing,E09000009,61,0.011,506.816107,455.980489,1.091837,1,4.040816,3,15.158163,13
Havering,E09000016,52,0.005,577.63398,501.714209,0.886667,0,3.14,3,10.066667,8
Hillingdon,E09000017,59,0.005,574.855456,524.68651,0.720497,0,2.602484,2,8.478261,8
Harrow,E09000015,40,0.008,514.531705,474.858296,0.839416,1,3.335766,3,12.277372,13
Brent,E09000005,52,0.012,485.862642,418.927834,1.17341,1,3.988439,3,15.572254,14
Barnet,E09000003,76,0.009,505.49082,463.632127,1.075829,1,3.677725,4,12.914692,13
Lambeth,E09000022,85,0.031,320.216877,288.539659,2.438202,2,9.168539,9,34.780899,36.5
Southwark,E09000028,73,0.024,321.26988,290.056916,2.487952,2,9.361446,8,38.325301,34.5
Lewisham,E09000023,59,0.017,413.419489,373.539732,1.43787,1,5.372781,5,20.609467,20
Greenwich,E09000011,63,0.012,475.931013,433.441346,1.18543,1,4.059603,3,14.139073,13
Bexley,E09000004,45,0.007,586.35318,548.978459,0.787671,0,2.958904,3,10.5,10.5
Enfield,E09000010,51,0.006,581.604803,531.604415,0.786885,0,2.939891,3,10.437158,10
Waltham Forest,E09000031,44,0.011,443.066507,389.381424,1.284722,1,4.569444,4,16.347222,18
Redbridge,E09000026,42,0.007,603.473804,528.314263,0.863354,0,3.285714,3,11.639752,11
Sutton,E09000029,39,0.009,522.423816,456.564712,0.983471,1,3.603306,3,12.520661,13
Richmond upon Thames,E09000027,46,0.008,428.460491,407.315604,1.252174,1,4.208696,4,13.886957,14
Merton,E09000024,50,0.013,440.638637,381.628227,1.459677,1,5.580645,5,20.733871,20
Wandsworth,E09000032,79,0.022,369.233946,331.784885,2.117318,2,7.955307,8,30.011173,33
Hammersmith and Fulham,E09000013,57,0.033,254.552965,223.610183,3.283186,3,12.053097,13,42.451327,44
Kensington and Chelsea,E09000020,38,0.031,264.072154,235.977988,2.679612,3,10.805825,11,40.873786,42
Westminster,E09000033,81,0.037,296.016796,262.747368,3.296875,3,12.320313,13,43.351563,42
Camden,E09000007,77,0.035,312.622543,295.945194,3.082707,3,12.233083,11,44.518797,35
Tower Hamlets,E09000030,64,0.03,328.095759,290.985896,2.694444,2,10.159722,9,39.881944,33
Islington,E09000019,64,0.043,300.575113,278.779517,3.252033,3,13.162602,12,50.593496,43
Hackney,E09000012,45,0.024,370.73097,320.413184,1.875,1,7.756944,7,32.493056,27
Haringey,E09000014,44,0.015,429.965192,357.399561,1.455172,1,5.048276,5,19.358621,19
Newham,E09000025,43,0.011,507.567791,451.406408,1.042683,1,4.231707,4,15.963415,16
Barking and Dagenham,E09000002,31,0.008,486.098759,456.389831,0.854545,1,3.127273,3,11.027273,11
City of London,E09000001,38,0.121,154.238922,129.008501,7.833333,7,32.833333,32.5,103.5,104.5
